experiment,lead_time,model_name,dataset,threshold,n_samples,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_no_chla,T+1,XGBoost,test,0.05,2190,0.3082191780821918,0.9415525114155251,0.9505766062602965,0.8548148148148148,0.9001560062402496,0.981703948172595,0.9668603824517114,0.9175064173083975,1485,30,98,577
env_no_chla,T+1,LightGBM,validation,0.06,1095,0.2447488584474886,0.9342465753424658,0.8712121212121212,0.8582089552238806,0.8646616541353384,0.9790016062372539,0.9295608133264079,0.9085482502842499,793,34,38,230
env_no_chla,T+1,LightGBM,test,0.06,2190,0.3082191780821918,0.8853881278538813,0.9669603524229075,0.6503703703703704,0.7776793622674933,0.9768967118934115,0.9495970471924344,0.8202346901356803,1500,15,236,439
env_no_chla,T+3,RandomForest,validation,0.3,1095,0.2447488584474886,0.9470319634703196,0.875,0.914179104477612,0.8941605839416058,0.9866267212907651,0.9630760221081613,0.9359287299897129,792,35,23,245
env_no_chla,T+3,RandomForest,test,0.3,2184,0.3090659340659341,0.8855311355311355,0.9953379953379954,0.6325925925925926,0.7735507246376812,0.9800147264560783,0.9651606092162319,0.8156336057727708,1507,2,248,427
env_no_chla,T+3,XGBoost,validation,0.08,1095,0.2447488584474886,0.9351598173515981,0.8229508196721311,0.9365671641791045,0.8760907504363001,0.9851784006208377,0.9555698140081578,0.9356354563338085,773,54,17,251
env_no_chla,T+3,XGBoost,test,0.08,2184,0.3090659340659341,0.929945054945055,0.9562937062937062,0.8103703703703704,0.8773055332798717,0.9832810544142553,0.968445786731895,0.8969015536411162,1484,25,128,547
env_no_chla,T+3,LightGBM,validation,0.06,1095,0.2447488584474886,0.9351598173515981,0.8456140350877193,0.8992537313432836,0.8716094032549728,0.9807928314894693,0.9385505748285425,0.9230246891299247,783,44,27,241
env_no_chla,T+3,LightGBM,test,0.06,2184,0.3090659340659341,0.8928571428571429,0.954639175257732,0.6859259259259259,0.7982758620689655,0.9783550548560489,0.9492308177193204,0.8356733672041823,1487,22,212,463
env_no_chla,T+7,RandomForest,validation,0.33,1095,0.2447488584474886,0.9397260273972603,0.8854961832061069,0.8656716417910447,0.8754716981132076,0.9824622353769242,0.9458115278389099,0.9146979732534426,797,30,36,232
env_no_chla,T+7,RandomForest,test,0.33,2172,0.31077348066298344,0.8872007366482505,0.9886363636363636,0.6444444444444445,0.7802690582959642,0.9843677478413619,0.9681366718768107,0.8205522155421956,1492,5,240,435
env_no_chla,T+7,XGBoost,validation,0.18,1095,0.2447488584474886,0.9315068493150684,0.7915407854984894,0.9776119402985075,0.8747913188647746,0.9858506740782184,0.9596298663282825,0.9470889205724702,758,69,6,262
env_no_chla,T+7,XGBoost,test,0.18,2172,0.31077348066298344,0.9360036832412523,0.9604810996563574,0.8281481481481482,0.8894192521877486,0.9879200376060764,0.9745435187645934,0.9063920433459511,1474,23,116,559
env_no_chla,T+7,LightGBM,validation,0.33,1095,0.2447488584474886,0.947945205479452,0.9169960474308301,0.8656716417910447,0.8905950095969289,0.9812575574365175,0.9465369311684884,0.9201393275460665,806,21,36,232
env_no_chla,T+7,LightGBM,test,0.33,2172,0.31077348066298344,0.8664825046040515,0.9948586118251928,0.5733333333333334,0.7274436090225563,0.9868170909720675,0.9726891577197156,0.785998663994656,1495,2,288,387
env_no_chla,T+10,RandomForest,validation,0.23,1095,0.2447488584474886,0.9260273972602739,0.78419452887538,0.9626865671641791,0.864321608040201,0.9804363911999855,0.9370331316388246,0.9384170441625006,756,71,10,258
env_no_chla,T+10,RandomForest,test,0.23,2163,0.3120665742024965,0.9181692094313454,0.9527272727272728,0.7762962962962963,0.8555102040816327,0.9850637196336121,0.9681045342265298,0.8794115890083631,1462,26,151,524
env_no_chla,T+10,XGBoost,validation,0.61,1095,0.2447488584474886,0.9315068493150684,0.9141630901287554,0.7947761194029851,0.8502994011976048,0.979344510819542,0.9402926932907955,0.8852961612734394,807,20,55,213
env_no_chla,T+10,XGBoost,test,0.61,2163,0.3120665742024965,0.8136846971798428,0.9963503649635036,0.40444444444444444,0.5753424657534246,0.9886857825567503,0.975271762833447,0.7018862007168458,1487,1,402,273
env_no_chla,T+10,LightGBM,validation,0.15,1095,0.2447488584474886,0.9205479452054794,0.8415094339622642,0.832089552238806,0.8367729831144465,0.9754823223664026,0.9327046558138227,0.8906517894204913,785,42,45,223
env_no_chla,T+10,LightGBM,test,0.15,2163,0.3120665742024965,0.8700878409616274,0.9624413145539906,0.6074074074074074,0.7447774750227066,0.9829669454400637,0.958958084140517,0.7983273596176822,1472,16,265,410
